ISOLATE	Address	GENT	predicted_phenotype
0555B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0555B.fasta	0	0
0555C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0555C.fasta	0	0
0555I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0555I.fasta	0	0
0555J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0555J.fasta	0	0
0557I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0557I.fasta	0	0
0557K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0557K.fasta	0	0
0566I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0566I.fasta	0	0
0603I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0603I.fasta	0	0
0606I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0606I.fasta	0	0
0606J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0606J.fasta	0	0
0614C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0614C.fasta	0	0
0616A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0616A.fasta	0	0
0616B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0616B.fasta	0	0
0625K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0625K.fasta	0	0
0626I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0626I.fasta	0	0
0630A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0630A.fasta	0	0
0670I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0670I.fasta	0	0
0670J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0670J.fasta	0	0
0680I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0680I.fasta	0	0
0681A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0681A.fasta	0	0
0681B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0681B.fasta	0	0
0681I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0681I.fasta	0	0
0710J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0710J.fasta	0	0
0736C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0736C.fasta	0	0
0764C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0764C.fasta	0	0
0770I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0770I.fasta	0	0
